code,name,cal,prota,protv,fata,fatv,carb
151,Картофель,86.0,0.0,1.7,0.0,0.0,20.0
152,Картофель сушеный или крупка (1/3),315.0,0.0,6.1,0.0,0.0,72.3
153,Лук репчатый,44.0,0.0,2.0,0.0,0.0,8.9
154,Лук репчатый сушеный,264.0,0.0,16.0,0.0,0.0,47.8
202,Маслята свежие,21.0,0.0,1.7,0.0,0.3,3.3
155,Морковь,34.0,0.0,1.0,0.0,0.0,7.4
156,Морковь сушеная (1/4),270.0,0.0,13.0,0.0,0.0,54.6
203,Опята свежие,23.0,0.0,1.7,0.0,0.5,3.8
157,Перец фарширов.консерв.,101.0,0.0,1.4,0.0,6.3,9.9
200,Свекла,40.0,0.0,1.2,0.0,8.8,8.8
158,Свекла сушеная (1/4),248.0,0.0,7.4,0.0,0.0,54.3
159,Чеснок,115.0,0.0,5.4,0.0,0.0,21.6
223,Фасоль консервированная,99.0,0.0,6.7,0.0,0.3,17.4
161,Груши сушеные,248.0,0.0,2.3,0.0,0.0,62.1
162,Изюм (виноград вял.с кост),291.0,0.0,1.8,0.0,0.0,70.9
163,Кишмиш (виноград вял.без кост),294.0,0.0,2.3,0.0,0.0,71.2
164,Курага (абрикосы вял.без кост),284.0,0.0,5.2,0.0,0.0,65.9
165,Курага (персики вял.без кост),286.0,0.0,3.0,0.0,0.0,68.5
166,Миндаль,575.0,0.0,18.2,0.0,50.5,11.9
167,Орехи грецкие,621.0,0.0,13.6,0.0,56.0,11.7
168,Орехи лесные,636.0,0.0,14.1,0.0,60.8,7.7
169,Орехи кедровые,654.0,0.0,16.2,0.0,60.0,12.3
170,Сухофрукты в ассортименте,260.0,0.0,3.0,0.0,0.0,62.0
171,Урюк (абрикосы вял.с кост.),290.0,0.0,5.0,0.0,0.0,67.5
172,Чернослив,272.0,0.0,2.3,0.0,0.0,65.6
173,Яблоки сушеные,285.0,0.0,3.2,0.0,0.0,68.0
209,Яблоки свежие,48.0,0.0,0.3,0.0,0.0,11.5
210,Смородина черная,43.0,0.0,0.7,0.0,0.0,9.8
211,Смородина красная,44.0,0.0,0.5,0.0,0.0,10.5
212,Малина,41.0,0.0,0.9,0.0,0.0,9.2
213,Земляника,43.0,0.0,1.5,0.0,0.0,8.9
214,Абрикосы,47.0,0.0,0.5,0.0,0.0,10.9
215,"Слива, алыча",54.0,0.0,0.6,0.0,0.0,12.6
216,Клюква,39.0,0.0,0.3,0.0,0.0,8.6
217,Арбуз,33.0,0.0,0.5,0.0,0.0,7.7
218,Дыня,42.0,0.0,0.6,0.0,0.0,9.6
219,Лимон,40.0,0.0,0.5,0.0,0.0,9.3
175,Какао порошок,350.0,0.0,23.6,0.0,20.2,17.9
176,Кисель фрукт-ягодн.конц.сухой,100.0,0.0,0.2,0.0,0.0,17.3
177,Кофе растворимый,300.0,0.0,3.5,0.0,3.6,0.0
178,Кофе молотый,300.0,0.0,3.5,0.0,3.6,0.0
179,Соки концентрированные сухие,100.0,0.0,0.4,0.0,0.0,25.0
182,Горчица,417.5,0.0,5.0,0.0,40.0,10.0
186,Томатная паста,76.0,0.0,3.5,0.0,0.0,15.0
221,Кетчуп,76.0,0.0,3.5,0.0,0.0,15.0
180,Чай,0.0,0.0,0.0,0.0,0.0,0.0
183,Лавровый лист,0.0,0.0,0.0,0.0,0.0,0.0
220,"Перец, специи",0.0,0.0,0.0,0.0,0.0,0.0
185,Соль,0.0,0.0,0.0,0.0,0.0,0.0
